id,first_name,last_name,email,gender,score,class_id
1,Harmonie,Fick,hfick0@wufoo.com,Female,9,5
2,Filberto,Jeannot,fjeannot1@merriam-webster.com,Male,4,4
3,Felisha,Fourman,ffourman2@trellian.com,Female,0,1
4,Pryce,Gilley,pgilley3@is.gd,Male,10,1
5,Ahmed,Marchetti,amarchetti4@businessweek.com,Male,6,2
6,Antonetta,Attfield,aattfield5@diigo.com,Female,8,3
7,Jammal,Grimolbie,jgrimolbie6@nyu.edu,Male,10,4
8,Ibby,Skelton,iskelton7@w3.org,Female,0,2
9,Mignonne,Yude,myude8@newyorker.com,Female,7,1
10,Ingar,Eve,ieve9@icio.us,Male,8,4
